HR,PGE,SCE,SDGE,VEA,CAISO,Datetime
1,9762.24,9423.63,2051.81,64.48,21302.16,2023-01-01 01:00:00
2,9705.41,9047.39,1987.57,63.39,20803.75,2023-01-01 02:00:00
3,9539.15,8795.72,1900.54,64.67,20300.08,2023-01-01 03:00:00
4,9372.68,8583.53,1893.32,65.39,19914.92,2023-01-01 04:00:00
5,9438.79,8612.09,1859.29,65.67,19975.84,2023-01-01 05:00:00
6,9577.42,8799.15,1828.71,68.42,20273.69,2023-01-01 06:00:00
7,9635.44,8948.17,1870.37,80.6,20534.58,2023-01-01 07:00:00
8,9598.28,8923.3,1914.76,74.54,20510.88,2023-01-01 08:00:00
9,9361.7,8829.58,1916.04,73.61,20179.97,2023-01-01 09:00:00
10,8771.07,8879.97,1931.91,73.07,19656.01,2023-01-01 10:00:00
11,8178.72,9292.92,1922.02,76.39,19470.04,2023-01-01 11:00:00
12,8096.63,9412.69,1868.07,80.04,19457.42,2023-01-01 12:00:00
13,8001.72,9369.57,1936.14,80.21,19387.63,2023-01-01 13:00:00
14,8275.49,9261.79,2054.83,75.75,19667.86,2023-01-01 14:00:00
15,8262.83,9260.31,2120.19,71.33,19714.66,2023-01-01 15:00:00
16,8819.26,9513.09,2283.81,62.67,20678.83,2023-01-01 16:00:00
17,9906.21,9945.27,2342.12,71.64,22265.24,2023-01-01 17:00:00
18,11023.73,10959.19,2547.89,120.52,24651.33,2023-01-01 18:00:00
19,11276.01,11092.17,2558.39,105.76,25032.33,2023-01-01 19:00:00
20,11276.04,11101.48,2502.02,103.38,24982.91,2023-01-01 20:00:00
21,11029.22,10952.82,2432.0,97.15,24511.19,2023-01-01 21:00:00
22,10842.54,10871.33,2351.5,91.02,24156.39,2023-01-01 22:00:00
23,10557.6,10371.75,2200.99,87.67,23218.0,2023-01-01 23:00:00
0,9887.77,9858.2,2061.41,84.63,21892.01,2023-01-02 00:00:00
1,9904.74,9496.08,2007.15,84.0,21491.97,2023-01-02 01:00:00
2,9620.78,9162.59,1909.58,84.48,20777.42,2023-01-02 02:00:00
3,9410.84,8978.83,1849.5,86.05,20325.21,2023-01-02 03:00:00
4,9485.03,8952.03,1805.64,87.77,20330.48,2023-01-02 04:00:00
5,9527.19,9048.91,1845.46,92.28,20513.84,2023-01-02 05:00:00
6,10012.57,9407.04,1940.1,97.89,21457.61,2023-01-02 06:00:00
7,10451.23,10010.34,2019.65,112.77,22593.99,2023-01-02 07:00:00
8,10821.72,10076.78,2025.93,105.34,23029.78,2023-01-02 08:00:00
9,11126.33,9979.86,1916.12,97.13,23119.44,2023-01-02 09:00:00
10,11537.0,10110.41,1844.53,85.28,23577.23,2023-01-02 10:00:00
11,11945.16,9921.16,1761.63,71.17,23699.13,2023-01-02 11:00:00
12,12229.5,10313.61,1896.25,64.18,24503.54,2023-01-02 12:00:00
13,12416.28,10349.72,1827.03,60.05,24653.09,2023-01-02 13:00:00
14,12492.92,10759.84,2082.65,59.36,25394.77,2023-01-02 14:00:00
15,12648.26,11105.74,2228.69,65.46,26048.14,2023-01-02 15:00:00
16,12665.72,11009.22,2376.89,75.37,26127.19,2023-01-02 16:00:00
17,12864.81,11591.0,2631.41,92.98,27180.2,2023-01-02 17:00:00
18,13252.59,12191.56,2882.84,99.1,28426.1,2023-01-02 18:00:00
19,13077.1,12399.19,2672.66,100.18,28249.13,2023-01-02 19:00:00
20,12562.17,12287.46,2623.84,100.11,27573.57,2023-01-02 20:00:00
21,12150.58,11952.28,2522.16,98.22,26723.24,2023-01-02 21:00:00
22,11728.69,11680.95,2395.6,85.13,25890.37,2023-01-02 22:00:00
23,11293.18,10905.84,2262.67,81.36,24543.06,2023-01-02 23:00:00
0,10769.22,10272.09,2113.88,76.99,23232.19,2023-01-03 00:00:00
1,10406.22,9790.89,2141.39,75.15,22413.66,2023-01-03 01:00:00
2,10303.72,9497.98,2049.11,73.88,21924.69,2023-01-03 02:00:00
3,10180.38,9491.13,2084.97,74.14,21830.61,2023-01-03 03:00:00
4,10181.64,9389.36,1989.01,75.5,21635.52,2023-01-03 04:00:00
5,10152.45,9428.79,2004.6,79.25,21665.09,2023-01-03 05:00:00
6,10803.96,10000.51,2076.24,85.26,22965.97,2023-01-03 06:00:00
7,11417.61,11024.92,2227.4,98.18,24768.11,2023-01-03 07:00:00
8,12124.44,11530.84,2384.57,93.44,26133.29,2023-01-03 08:00:00
9,12104.42,12388.15,2670.4,93.05,27256.02,2023-01-03 09:00:00
10,11855.08,12507.42,2713.49,91.96,27167.96,2023-01-03 10:00:00
11,11582.44,12754.43,2707.28,77.91,27122.05,2023-01-03 11:00:00
12,11354.9,12728.46,2442.29,66.82,26592.48,2023-01-03 12:00:00
13,11379.61,12758.31,2462.14,69.6,26669.66,2023-01-03 13:00:00
14,11544.78,12421.35,2517.78,59.01,26542.92,2023-01-03 14:00:00
15,11673.4,11999.38,2539.61,61.16,26273.54,2023-01-03 15:00:00
16,11910.97,11963.17,2643.65,70.6,26588.39,2023-01-03 16:00:00
17,12361.81,12293.01,2743.23,84.2,27482.25,2023-01-03 17:00:00
18,13170.44,12902.74,2826.13,90.65,28989.96,2023-01-03 18:00:00
19,13085.56,12677.02,2785.17,92.04,28639.79,2023-01-03 19:00:00
20,12866.61,12509.55,2704.94,90.02,28171.12,2023-01-03 20:00:00
21,12513.89,12265.98,2601.86,89.13,27470.86,2023-01-03 21:00:00
22,12042.36,11924.64,2469.05,85.39,26521.44,2023-01-03 22:00:00
23,11314.58,11311.75,2284.32,74.29,24984.95,2023-01-03 23:00:00
0,10835.2,10719.08,2155.28,71.21,23780.77,2023-01-04 00:00:00
1,10858.13,10087.07,2096.02,69.41,23110.63,2023-01-04 01:00:00
2,10720.06,9734.15,2029.16,69.59,22552.96,2023-01-04 02:00:00
3,10607.7,9485.07,1987.87,71.31,22151.16,2023-01-04 03:00:00
4,10419.72,9381.15,1952.83,72.93,21826.63,2023-01-04 04:00:00
5,10332.02,9612.27,2007.47,77.72,22029.48,2023-01-04 05:00:00
6,10380.5,10049.1,2040.47,84.79,22554.86,2023-01-04 06:00:00
7,11117.72,10813.03,2199.03,97.21,24226.99,2023-01-04 07:00:00
8,11752.04,11274.18,2334.37,93.84,25454.42,2023-01-04 08:00:00
9,11933.38,11847.93,2473.14,91.66,26346.12,2023-01-04 09:00:00
10,11731.08,12036.64,2430.21,90.26,26288.19,2023-01-04 10:00:00
11,11868.74,12211.27,2464.92,84.7,26628.83,2023-01-04 11:00:00
12,11915.42,12268.65,2201.05,79.57,26464.69,2023-01-04 12:00:00
13,11913.1,12281.24,2002.09,69.29,26265.73,2023-01-04 13:00:00
14,11829.14,12348.26,1887.25,76.12,26140.77,2023-01-04 14:00:00
15,11588.39,12077.0,2058.94,73.03,25797.37,2023-01-04 15:00:00
16,11706.73,11618.95,2333.57,68.89,25728.14,2023-01-04 16:00:00
17,12072.35,11951.71,2475.87,85.94,26585.86,2023-01-04 17:00:00
18,12781.54,12490.56,2687.79,92.17,28052.06,2023-01-04 18:00:00
19,12679.81,12463.63,2678.09,90.55,27912.08,2023-01-04 19:00:00
20,12044.59,12381.83,2593.16,88.75,27108.33,2023-01-04 20:00:00
21,11644.29,12161.53,2519.66,86.72,26412.2,2023-01-04 21:00:00
22,11143.62,11798.89,2411.18,81.58,25435.27,2023-01-04 22:00:00
23,10431.37,11242.6,2251.48,70.22,23995.67,2023-01-04 23:00:00
0,10664.56,10516.96,2104.85,66.75,23353.11,2023-01-05 00:00:00
1,10152.12,10116.35,2216.53,65.12,22550.13,2023-01-05 01:00:00
2,10084.88,9800.28,2175.27,63.83,22124.25,2023-01-05 02:00:00
3,9942.69,9578.77,2118.67,64.14,21703.47,2023-01-05 03:00:00
4,9414.97,9387.0,2193.88,65.91,21061.76,2023-01-05 04:00:00
5,9421.85,9442.66,1916.73,68.71,20849.95,2023-01-05 05:00:00
6,9755.6,9885.18,1954.53,75.16,21670.46,2023-01-05 06:00:00
7,10666.21,10702.99,2152.18,87.61,23608.98,2023-01-05 07:00:00
8,11273.69,11323.96,2316.91,91.71,25006.26,2023-01-05 08:00:00
9,11534.94,11850.65,2423.03,79.64,25888.26,2023-01-05 09:00:00
10,11599.0,12306.3,2438.15,74.85,26418.3,2023-01-05 10:00:00
11,11763.87,12941.92,2487.93,74.86,27268.59,2023-01-05 11:00:00
12,11999.9,12634.66,2549.34,70.29,27253.4,2023-01-05 12:00:00
13,12397.67,12313.52,2573.15,78.83,27363.16,2023-01-05 13:00:00
14,12041.25,11863.8,2449.4,80.32,26434.78,2023-01-05 14:00:00
15,11642.39,11389.78,2448.1,73.94,25554.21,2023-01-05 15:00:00
16,11354.52,11294.89,2462.14,72.15,25183.7,2023-01-05 16:00:00
17,11658.38,11533.59,2533.76,89.3,25815.03,2023-01-05 17:00:00
18,12430.85,12246.23,2746.03,93.81,27516.92,2023-01-05 18:00:00
19,12521.92,12384.16,2730.73,92.14,27728.95,2023-01-05 19:00:00
20,12248.75,12203.39,2653.59,90.65,27196.38,2023-01-05 20:00:00
21,11915.01,11977.78,2552.83,89.37,26534.98,2023-01-05 21:00:00
22,11540.12,11673.68,2420.23,77.69,25711.72,2023-01-05 22:00:00
23,10829.84,11185.92,2243.81,74.4,24333.97,2023-01-05 23:00:00
0,10164.1,10572.34,2086.36,72.27,22895.07,2023-01-06 00:00:00
1,9997.01,10147.29,2102.88,72.57,22319.76,2023-01-06 01:00:00
2,10216.86,9576.89,2028.83,73.65,21895.44,2023-01-06 02:00:00
3,10355.92,9440.27,1990.46,75.99,21862.63,2023-01-06 03:00:00
4,10326.78,9280.05,1949.85,79.56,21636.24,2023-01-06 04:00:00
5,9966.11,9608.4,2000.1,85.86,21660.48,2023-01-06 05:00:00
6,10260.79,10310.74,2107.04,95.05,22773.62,2023-01-06 06:00:00
7,10741.56,11125.82,2327.97,110.41,24305.76,2023-01-06 07:00:00
8,11484.69,11569.85,2487.67,105.16,25647.38,2023-01-06 08:00:00
9,11234.16,12006.41,2304.88,95.06,25640.51,2023-01-06 09:00:00
10,10879.77,11782.15,2167.58,80.1,24909.59,2023-01-06 10:00:00
11,10519.02,11364.18,1926.82,66.76,23876.78,2023-01-06 11:00:00
12,10392.39,11253.93,1701.73,58.71,23406.76,2023-01-06 12:00:00
13,10381.66,10817.28,1574.93,54.08,22827.17,2023-01-06 13:00:00
14,10759.42,10670.83,1502.12,51.81,22984.18,2023-01-06 14:00:00
15,10932.58,10754.38,1785.39,51.65,23524.0,2023-01-06 15:00:00
16,10764.14,10734.18,2034.25,56.28,23588.84,2023-01-06 16:00:00
17,11479.27,11212.93,2327.01,73.8,25093.01,2023-01-06 17:00:00
18,12274.81,12104.44,2620.11,86.18,27085.53,2023-01-06 18:00:00
19,12162.31,12127.92,2614.06,89.64,26993.92,2023-01-06 19:00:00
20,11873.36,12018.28,2570.3,91.84,26553.77,2023-01-06 20:00:00
21,11533.11,11920.5,2552.81,92.96,26099.38,2023-01-06 21:00:00
22,11168.48,11727.52,2464.45,93.05,25453.49,2023-01-06 22:00:00
23,10547.74,11279.87,2304.82,83.84,24216.27,2023-01-06 23:00:00
0,9939.66,10828.31,2168.67,83.36,23020.0,2023-01-07 00:00:00
1,9642.84,10204.46,2116.38,83.95,22047.63,2023-01-07 01:00:00
2,9781.07,9883.71,2007.02,85.57,21757.36,2023-01-07 02:00:00
3,9430.91,9646.21,1941.75,88.43,21107.3,2023-01-07 03:00:00
4,9213.4,9535.64,1906.97,90.88,20746.88,2023-01-07 04:00:00
5,9263.67,9566.86,1920.97,94.98,20846.48,2023-01-07 05:00:00
6,9608.82,9827.0,1963.45,101.53,21500.79,2023-01-07 06:00:00
7,9922.87,10195.75,2059.05,115.85,22293.51,2023-01-07 07:00:00
8,10264.1,10283.13,2062.86,110.08,22720.17,2023-01-07 08:00:00
9,10676.97,10467.25,2265.48,107.99,23517.69,2023-01-07 09:00:00
10,10798.0,10421.26,1947.37,95.61,23262.25,2023-01-07 10:00:00
11,11040.83,10306.54,1661.84,72.49,23081.7,2023-01-07 11:00:00
12,10603.29,10033.99,1523.12,74.86,22235.25,2023-01-07 12:00:00
13,10796.22,9827.28,1392.38,73.34,22089.22,2023-01-07 13:00:00
14,11024.39,9540.56,1406.06,71.95,22042.96,2023-01-07 14:00:00
15,11019.35,9704.76,1636.43,67.46,22428.0,2023-01-07 15:00:00
16,11044.22,9862.74,2011.02,71.75,22989.74,2023-01-07 16:00:00
17,11376.63,10274.76,2222.42,85.83,23959.63,2023-01-07 17:00:00
18,11827.41,11297.57,2466.23,91.93,25683.14,2023-01-07 18:00:00
19,11678.06,11326.17,2485.73,92.95,25582.91,2023-01-07 19:00:00
20,11454.36,11240.54,2435.58,94.07,25224.55,2023-01-07 20:00:00
21,11197.36,11098.51,2378.33,92.82,24767.03,2023-01-07 21:00:00
22,10893.37,10903.38,2306.57,90.74,24194.06,2023-01-07 22:00:00
23,10713.92,10566.41,2176.63,82.33,23539.29,2023-01-07 23:00:00
0,10139.61,10210.24,2048.9,80.5,22479.26,2023-01-08 00:00:00
1,10116.77,9434.86,2027.26,78.59,21657.48,2023-01-08 01:00:00
2,9499.84,9293.08,1967.47,77.12,20836.73,2023-01-08 02:00:00
3,9427.03,9042.15,1891.58,78.4,20439.15,2023-01-08 03:00:00
4,9246.03,8777.01,1872.2,79.91,19975.15,2023-01-08 04:00:00
5,9100.73,8807.55,1887.74,83.11,19879.12,2023-01-08 05:00:00
6,9126.74,9052.98,1936.14,88.6,20204.46,2023-01-08 06:00:00
7,9413.56,9271.05,1987.97,101.09,20773.68,2023-01-08 07:00:00
8,9755.02,9529.52,1999.71,102.08,21386.34,2023-01-08 08:00:00
9,9890.25,9733.72,1831.57,94.57,21550.1,2023-01-08 09:00:00
10,9878.12,9475.58,1641.33,91.83,21086.86,2023-01-08 10:00:00
11,9632.24,9480.02,1494.42,88.02,20694.7,2023-01-08 11:00:00
12,9565.18,9268.23,1484.47,79.16,20397.04,2023-01-08 12:00:00
13,9966.56,9082.34,1299.63,63.89,20412.41,2023-01-08 13:00:00
14,10382.06,9105.77,1345.16,52.58,20885.56,2023-01-08 14:00:00
15,10553.99,9345.07,1595.68,51.09,21545.82,2023-01-08 15:00:00
16,10390.11,9723.68,1918.94,55.01,22087.74,2023-01-08 16:00:00
17,10840.61,10206.09,2128.36,66.26,23241.32,2023-01-08 17:00:00
18,11658.21,11215.97,2486.93,82.76,25443.88,2023-01-08 18:00:00
19,11712.08,11327.68,2534.73,86.19,25660.69,2023-01-08 19:00:00
20,11521.36,11271.72,2477.62,86.19,25356.89,2023-01-08 20:00:00
21,11157.76,11074.03,2432.53,84.93,24749.25,2023-01-08 21:00:00
22,10578.14,10754.74,2334.69,65.43,23733.0,2023-01-08 22:00:00
23,9980.09,10271.58,2193.67,25.77,22471.11,2023-01-08 23:00:00
0,9516.98,9522.78,2064.21,56.79,21160.76,2023-01-09 00:00:00
1,9346.19,9361.61,2028.87,44.36,20781.04,2023-01-09 01:00:00
2,9541.48,9048.48,1983.59,26.54,20600.09,2023-01-09 02:00:00
3,9504.55,9391.47,1975.91,0.38,20872.3,2023-01-09 03:00:00
4,9585.54,9333.36,1980.1,0.0,20899.01,2023-01-09 04:00:00
5,9752.23,9196.41,2012.43,0.0,20961.07,2023-01-09 05:00:00
6,9861.21,9753.34,2069.6,0.0,21684.14,2023-01-09 06:00:00
7,10803.98,10612.94,2285.13,21.96,23724.0,2023-01-09 07:00:00
8,11862.09,11348.73,2496.27,23.88,25730.96,2023-01-09 08:00:00
9,12006.36,11736.35,2353.05,14.5,26110.26,2023-01-09 09:00:00
10,12250.3,12160.33,2251.01,46.47,26708.11,2023-01-09 10:00:00
11,12156.32,12407.65,2062.38,61.92,26688.27,2023-01-09 11:00:00
12,12000.99,12892.19,2169.82,80.39,27143.39,2023-01-09 12:00:00
13,11442.21,12672.11,1991.18,78.89,26184.39,2023-01-09 13:00:00
14,11277.74,12377.17,1975.44,76.59,25706.95,2023-01-09 14:00:00
15,11361.88,12203.44,2048.75,75.55,25689.62,2023-01-09 15:00:00
16,11608.06,12032.26,2286.32,75.77,26002.4,2023-01-09 16:00:00
17,11773.65,12271.28,2523.93,88.86,26657.71,2023-01-09 17:00:00
18,12320.01,12637.98,2811.41,91.3,27860.69,2023-01-09 18:00:00
19,12366.64,12571.62,2733.18,91.73,27763.18,2023-01-09 19:00:00
20,12048.83,12363.73,2665.46,89.56,27167.59,2023-01-09 20:00:00
21,11687.14,12090.51,2556.6,86.08,26420.32,2023-01-09 21:00:00
22,11313.05,11735.84,2482.65,74.41,25605.96,2023-01-09 22:00:00
23,10579.83,11124.74,2312.55,71.23,24088.35,2023-01-09 23:00:00
0,9957.11,10429.01,2189.63,67.0,22642.75,2023-01-10 00:00:00
1,9858.19,9934.41,2156.6,64.04,22013.24,2023-01-10 01:00:00
2,10000.57,9405.37,2055.78,62.69,21523.44,2023-01-10 02:00:00
3,9673.59,9344.63,2079.74,63.02,21160.98,2023-01-10 03:00:00
4,9788.72,9170.58,1883.94,63.09,20906.33,2023-01-10 04:00:00
5,9944.87,9270.33,1933.24,66.58,21215.03,2023-01-10 05:00:00
6,10030.78,9896.34,2020.17,71.46,22018.75,2023-01-10 06:00:00
7,10614.73,10825.29,2240.42,86.18,23766.62,2023-01-10 07:00:00
8,11475.25,11506.51,2423.28,88.3,25493.34,2023-01-10 08:00:00
9,11691.87,12211.27,2452.14,80.65,26435.92,2023-01-10 09:00:00
10,11876.12,12367.94,2522.7,81.54,26848.3,2023-01-10 10:00:00
11,11473.88,12624.64,2504.68,73.4,26676.6,2023-01-10 11:00:00
12,11310.81,12832.62,2492.16,80.31,26715.91,2023-01-10 12:00:00
13,11607.68,12690.87,2491.78,84.13,26874.46,2023-01-10 13:00:00
14,11418.57,12341.37,2568.97,87.22,26416.13,2023-01-10 14:00:00
15,11066.12,11941.79,2572.76,80.75,25661.43,2023-01-10 15:00:00
16,11098.29,11870.72,2549.38,72.91,25591.3,2023-01-10 16:00:00
17,11827.82,11874.77,2620.63,92.62,26415.85,2023-01-10 17:00:00
18,12734.52,12579.17,2784.93,101.02,28199.65,2023-01-10 18:00:00
19,12795.44,12627.64,2764.88,100.4,28288.36,2023-01-10 19:00:00
20,12488.54,12417.56,2680.71,99.66,27686.47,2023-01-10 20:00:00
21,12205.82,12204.71,2582.06,97.08,27089.68,2023-01-10 21:00:00
22,11707.45,11821.97,2502.68,85.56,26117.67,2023-01-10 22:00:00
23,11031.63,11192.56,2315.19,82.05,24621.43,2023-01-10 23:00:00
0,10654.89,10681.97,2160.21,79.73,23576.8,2023-01-11 00:00:00
1,10477.66,10090.79,2104.5,79.13,22752.08,2023-01-11 01:00:00
2,10081.06,9812.5,2039.59,79.74,22012.89,2023-01-11 02:00:00
3,10150.95,9717.67,1991.28,81.49,21941.39,2023-01-11 03:00:00
4,10068.0,9612.42,1958.38,84.91,21723.72,2023-01-11 04:00:00
5,9943.12,9848.45,2008.92,92.34,21892.83,2023-01-11 05:00:00
6,10475.22,10559.97,2103.3,101.88,23240.38,2023-01-11 06:00:00
7,11470.9,11734.41,2362.9,111.63,25679.84,2023-01-11 07:00:00
8,12393.75,12190.4,2508.12,113.45,27205.72,2023-01-11 08:00:00
9,12549.53,12425.96,2423.9,98.79,27498.18,2023-01-11 09:00:00
10,12646.88,13041.83,2243.42,86.96,28018.12,2023-01-11 10:00:00
11,12093.65,12700.82,2194.91,73.02,27062.4,2023-01-11 11:00:00
12,12431.01,11736.05,2000.37,61.2,26228.63,2023-01-11 12:00:00
13,12508.83,11564.22,1828.11,55.3,25956.46,2023-01-11 13:00:00
14,12628.26,11271.55,1886.84,57.91,25844.55,2023-01-11 14:00:00
15,12460.91,11434.61,2082.81,60.24,26038.57,2023-01-11 15:00:00
16,12484.7,11615.08,2234.95,63.54,26398.27,2023-01-11 16:00:00
17,12733.81,11976.7,2695.32,82.46,27488.29,2023-01-11 17:00:00
18,13137.03,12931.74,2703.58,90.36,28862.7,2023-01-11 18:00:00
19,13098.0,12964.43,2706.64,94.88,28863.94,2023-01-11 19:00:00
20,12787.33,12820.88,2658.6,96.63,28363.43,2023-01-11 20:00:00
21,12315.08,12669.19,2575.43,97.34,27657.03,2023-01-11 21:00:00
22,11888.69,12382.18,2460.29,86.64,26817.81,2023-01-11 22:00:00
23,11240.99,11632.87,2283.57,84.0,25241.44,2023-01-11 23:00:00
0,10669.16,11079.97,2119.91,83.11,23952.15,2023-01-12 00:00:00
1,10815.52,10492.99,2147.68,83.42,23539.6,2023-01-12 01:00:00
2,10539.51,10231.59,2044.89,84.54,22900.54,2023-01-12 02:00:00
3,10556.95,9934.09,2010.79,86.78,22588.61,2023-01-12 03:00:00
4,10611.52,9656.26,1987.17,90.59,22345.53,2023-01-12 04:00:00
5,10325.88,9801.5,2019.06,96.85,22243.28,2023-01-12 05:00:00
6,10161.55,10466.29,2107.32,105.66,22840.83,2023-01-12 06:00:00
7,10978.12,11452.43,2357.6,114.02,24902.17,2023-01-12 07:00:00
8,11685.74,11791.54,2494.7,114.6,26086.58,2023-01-12 08:00:00
9,11591.9,11968.24,2468.33,101.0,26129.47,2023-01-12 09:00:00
10,11120.99,12130.95,2380.12,82.15,25714.2,2023-01-12 10:00:00
11,10412.57,12218.44,2108.9,67.94,24807.86,2023-01-12 11:00:00
12,10174.57,11803.72,1953.6,61.62,23993.51,2023-01-12 12:00:00
13,10413.52,11209.37,1842.38,59.73,23524.7,2023-01-12 13:00:00
14,10566.78,10857.96,1914.17,55.89,23394.81,2023-01-12 14:00:00
15,10052.12,10749.04,1948.89,58.39,22807.9,2023-01-12 15:00:00
16,10612.24,10791.46,2156.74,63.12,23623.56,2023-01-12 16:00:00
17,11163.98,11191.24,2425.85,77.82,24858.88,2023-01-12 17:00:00
18,12072.35,11988.45,2631.08,87.32,26779.2,2023-01-12 18:00:00
19,12226.24,12074.22,2646.8,90.54,27037.8,2023-01-12 19:00:00
20,11940.47,11875.45,2570.97,91.36,26478.25,2023-01-12 20:00:00
21,11563.85,11704.52,2476.72,91.69,25836.79,2023-01-12 21:00:00
22,11143.72,11454.57,2391.12,82.77,25072.18,2023-01-12 22:00:00
23,10579.65,10933.98,2233.27,80.93,23827.83,2023-01-12 23:00:00
0,10162.98,10411.33,2117.43,80.09,22771.83,2023-01-13 00:00:00
1,10054.16,9722.33,2124.22,80.38,21981.08,2023-01-13 01:00:00
2,9892.14,9350.04,2068.31,81.84,21392.33,2023-01-13 02:00:00
3,9743.01,9084.73,1981.34,84.16,20893.25,2023-01-13 03:00:00
4,9429.53,8993.66,1924.88,87.35,20435.41,2023-01-13 04:00:00
5,9578.83,9215.99,1981.91,92.71,20869.44,2023-01-13 05:00:00
6,9973.28,9821.85,2080.22,99.32,21974.66,2023-01-13 06:00:00
7,10545.27,11024.56,2316.31,113.67,23999.81,2023-01-13 07:00:00
8,11459.28,11557.05,2452.71,109.5,25578.53,2023-01-13 08:00:00
9,11866.18,11566.96,2273.55,100.09,25806.78,2023-01-13 09:00:00
10,12109.19,11356.34,2111.4,85.39,25662.32,2023-01-13 10:00:00
11,12316.82,11228.9,2059.25,73.09,25678.06,2023-01-13 11:00:00
12,12598.66,10947.24,2113.47,66.96,25726.34,2023-01-13 12:00:00
13,12487.96,11130.71,2087.3,64.7,25770.67,2023-01-13 13:00:00
14,12149.37,10816.45,1821.29,64.76,24851.88,2023-01-13 14:00:00
15,11811.1,10579.33,1968.08,65.46,24423.99,2023-01-13 15:00:00
16,11679.21,10534.65,2147.1,69.23,24429.2,2023-01-13 16:00:00
17,11794.07,10900.76,2344.83,83.96,25123.62,2023-01-13 17:00:00
18,12424.67,11807.6,2585.31,90.8,26908.38,2023-01-13 18:00:00
19,12341.53,11751.56,2600.45,91.12,26784.66,2023-01-13 19:00:00
20,11994.9,11647.8,2539.7,91.32,26273.73,2023-01-13 20:00:00
21,11560.97,11424.94,2489.69,91.57,25567.17,2023-01-13 21:00:00
22,11181.84,11232.01,2453.63,82.05,24949.52,2023-01-13 22:00:00
23,10450.0,10782.47,2281.64,79.24,23593.35,2023-01-13 23:00:00
0,9959.55,10057.26,2130.91,77.27,22224.99,2023-01-14 00:00:00
1,9880.47,9575.98,2138.0,75.99,21670.44,2023-01-14 01:00:00
2,9690.51,9213.02,2059.67,74.81,21038.01,2023-01-14 02:00:00
3,9487.21,8936.25,1966.01,74.69,20464.16,2023-01-14 03:00:00
4,9377.63,8807.66,1930.14,75.03,20190.46,2023-01-14 04:00:00
5,9386.81,8771.02,1917.58,76.57,20151.97,2023-01-14 05:00:00
6,9511.91,9062.91,1948.9,80.0,20603.71,2023-01-14 06:00:00
7,9744.05,9629.84,2030.29,84.14,21488.33,2023-01-14 07:00:00
8,10256.42,9604.64,2077.62,86.54,22025.23,2023-01-14 08:00:00
9,10785.5,9939.15,2150.41,86.14,22961.18,2023-01-14 09:00:00
10,11193.58,10473.2,2088.19,83.41,23838.39,2023-01-14 10:00:00
11,11272.2,10743.01,2224.28,80.79,24320.27,2023-01-14 11:00:00
12,10962.99,10941.87,2297.86,79.43,24282.15,2023-01-14 12:00:00
13,10808.84,11045.08,2375.07,76.95,24305.94,2023-01-14 13:00:00
14,10991.08,11214.66,2468.16,79.42,24753.31,2023-01-14 14:00:00
15,10973.49,11253.25,2542.01,81.86,24850.61,2023-01-14 15:00:00
16,10937.08,11415.9,2653.58,84.7,25091.26,2023-01-14 16:00:00
17,11321.0,11309.07,2617.05,90.14,25337.26,2023-01-14 17:00:00
18,11809.5,11802.74,2702.21,100.62,26415.07,2023-01-14 18:00:00
19,11575.2,11786.72,2662.55,98.27,26122.74,2023-01-14 19:00:00
20,11456.93,11680.42,2583.47,96.03,25816.86,2023-01-14 20:00:00
21,11332.06,11333.7,2496.78,86.68,25249.22,2023-01-14 21:00:00
22,10928.15,10973.27,2406.08,81.82,24389.32,2023-01-14 22:00:00
23,10436.98,10533.56,2305.11,75.69,23351.35,2023-01-14 23:00:00
0,10015.42,9872.44,2226.88,72.26,22187.0,2023-01-15 00:00:00
1,9643.74,9338.46,2113.44,64.4,21160.04,2023-01-15 01:00:00
2,9583.78,8965.78,2022.1,69.53,20641.19,2023-01-15 02:00:00
3,9469.83,8795.58,2045.21,69.77,20380.39,2023-01-15 03:00:00
4,9402.28,8517.86,1896.15,70.54,19886.83,2023-01-15 04:00:00
5,9597.16,8477.41,1873.91,72.55,20021.04,2023-01-15 05:00:00
6,9782.8,8668.69,1851.72,76.84,20380.05,2023-01-15 06:00:00
7,10144.04,8989.95,1919.72,83.29,21137.01,2023-01-15 07:00:00
8,10195.21,9073.49,1975.91,87.96,21331.6,2023-01-15 08:00:00
9,10639.56,9396.36,2002.95,84.5,22123.36,2023-01-15 09:00:00
10,10904.61,9662.43,2005.28,75.84,22648.15,2023-01-15 10:00:00
11,10874.53,10041.67,1992.55,70.56,22979.3,2023-01-15 11:00:00
12,11035.54,9813.22,1900.08,68.74,22817.58,2023-01-15 12:00:00
13,11171.54,9713.85,1842.59,67.95,22795.92,2023-01-15 13:00:00
14,11119.56,9909.0,1986.3,69.96,23084.81,2023-01-15 14:00:00
15,11502.5,10072.99,2165.0,71.49,23811.98,2023-01-15 15:00:00
16,11391.65,10626.64,2342.56,75.93,24436.78,2023-01-15 16:00:00
17,11563.98,10751.78,2472.56,83.84,24872.16,2023-01-15 17:00:00
18,12123.29,11440.57,2634.71,96.96,26295.54,2023-01-15 18:00:00
19,12046.3,11606.76,2598.72,95.23,26347.01,2023-01-15 19:00:00
20,11764.69,11452.56,2590.5,86.68,25894.43,2023-01-15 20:00:00
21,11641.78,11098.86,2484.96,85.21,25310.82,2023-01-15 21:00:00
22,11326.14,10870.68,2415.07,81.76,24693.66,2023-01-15 22:00:00
